num,id,filename,theme,status,url
55,_vqVgFWPDcQ,_vqVgFWPDcQ.txt,Which banks to sign up with as a Banking Correspondent,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/_vqVgFWPDcQ.txt
56,_VVILHDb9XU,_VVILHDb9XU.txt,Como iniciar sozinho no mercado de credito?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/_VVILHDb9XU.txt
57,A43wSK_0Axo,A43wSK_0Axo.txt,Nova Vida data intelligence interview,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/A43wSK_0Axo.txt
58,aJcHOtOZKYQ,aJcHOtOZKYQ.txt,O FIM DO SAQUE ANIVERSARIO DO FGTS,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/aJcHOtOZKYQ.txt
59,aQ3sqf0j-X8,aQ3sqf0j-X8.txt,All products certifications unlocked,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/aQ3sqf0j-X8.txt
60,AQPkr4Cc9t0,AQPkr4Cc9t0.txt,Atendeu Consignados paid acquisition case,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/AQPkr4Cc9t0.txt
61,AW2-ScP9WAM,AW2-ScP9WAM.txt,Prova ANEPS 2026: Nao cometa esses erros ao estudar,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/AW2-ScP9WAM.txt
62,awHfxJT-9Mw,awHfxJT-9Mw.txt,01 Treinamento de Portabilidade - O que e Portabilidade?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/awHfxJT-9Mw.txt
63,B-SrGu71Auk,B-SrGu71Auk.txt,Four prospecting routes and sequence,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/B-SrGu71Auk.txt
64,b0xZ1TDVs5Y,b0xZ1TDVs5Y.txt,Os melhores ensinamentos sobre o mercado de credito,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/b0xZ1TDVs5Y.txt
65,B_pUYw5KEHU,B_pUYw5KEHU.txt,Loan Correspondent: How to build partnerships to REALLY make money? Free Course,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/B_pUYw5KEHU.txt
66,bheF7Pp9Ei4,bheF7Pp9Ei4.txt,What you need to know to sell credit.,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/bheF7Pp9Ei4.txt
67,BQHprqIG8II,BQHprqIG8II.txt,Promocis RO-aware simulation and consultation,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/BQHprqIG8II.txt
68,BWRtYmmeGhg,BWRtYmmeGhg.txt,FREE BANKING CORRESPONDENT COURSE with certificate - Become a Corban in 2026,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/BWRtYmmeGhg.txt
69,cG_2TxueZKQ,cG_2TxueZKQ.txt,Inside a Payroll Loan Operation (CLT) - Meet SOMA,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/cG_2TxueZKQ.txt
70,cHpGepzp3DU,cHpGepzp3DU.txt,FOOLPROOF TIP TO SELL MORE PAYROLL LOANS!,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/cHpGepzp3DU.txt
71,CO17ckSzoa0,CO17ckSzoa0.txt,Jessica Cast Consignados dialer adoption case,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/CO17ckSzoa0.txt
72,cPbQGyyyt_E,cPbQGyyyt_E.txt,Independent banking correspondent guide,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/cPbQGyyyt_E.txt
73,CvKTD31Jnz8,CvKTD31Jnz8.txt,FEBRABAN CERTIFIED AGENT: What it is and why you should become one,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/CvKTD31Jnz8.txt
74,CZWVxVj4sws,CZWVxVj4sws.txt,The End of the Banking Correspondent? What the INSS Auction Really Changes,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/CZWVxVj4sws.txt
75,d-YnWqf65r4,d-YnWqf65r4.txt,TIPS TO BOOST YOUR PAYROLL LOAN OPERATIONS,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/d-YnWqf65r4.txt
76,d3ZrTW6lCkE,d3ZrTW6lCkE.txt,FGTS Birthday Withdrawal Loan Simulator,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/d3ZrTW6lCkE.txt
77,D6eDTUD8v3I,D6eDTUD8v3I.txt,How to sell loans to clients with no remaining credit capacity?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/D6eDTUD8v3I.txt
78,DBYljcVEL-c,DBYljcVEL-c.txt,ABECIP CA-300 or CA-600 Certification: Do this in February 2026,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/DBYljcVEL-c.txt
79,DEHg2psZQyk,DEHg2psZQyk.txt,Tudo que voce precisa saber para vender Portabilidade!,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/DEHg2psZQyk.txt
80,DFipxwJCKEs,DFipxwJCKEs.txt,Becoming a Home Office Banking Correspondent in 2026 - The Step-by-Step Path,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/DFipxwJCKEs.txt
81,DoWjfg-Ya7M,DoWjfg-Ya7M.txt,"New Banking Correspondent June 2026 - FEBRABAN FNN100, ANEPS, CA-300 Certification",Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/DoWjfg-Ya7M.txt
82,DUG5bCfhfPM,DUG5bCfhfPM.txt,How to unblock your INSS benefit for a payroll-deducted loan,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/DUG5bCfhfPM.txt
83,e1tUHZxjEZ8,e1tUHZxjEZ8.txt,Earn well certification banks system,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/e1tUHZxjEZ8.txt
84,E5f_VaOMx4o,E5f_VaOMx4o.txt,Como calcular o aumento de margem 5% - consignado,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/E5f_VaOMx4o.txt
85,e5tCbi_lKUY,e5tCbi_lKUY.txt,Home-based certifications video 3,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/e5tCbi_lKUY.txt
86,eBGc7TD68m0,eBGc7TD68m0.txt,REDUCAO DA TAXA DE JUROS NO MERCADO DE CREDITO,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/eBGc7TD68m0.txt
87,eCu9BPh0VPw,eCu9BPh0VPw.txt,Como funciona a Antecipacao do Saque Aniversario do FGTS?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/eCu9BPh0VPw.txt
88,EKHWE37k5RI,EKHWE37k5RI.txt,Sell payroll loans like the big companies!,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/EKHWE37k5RI.txt
89,f7emyRQ2jrc,f7emyRQ2jrc.txt,ABECIP CA600 advanced guide,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/f7emyRQ2jrc.txt
90,FacWGSXQLEE,FacWGSXQLEE.txt,How to BE A HOME OFFICE BANKING CORRESPONDENT in 2026 Step-by-step? Corban Secrets Video 2,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/FacWGSXQLEE.txt
91,fJUhGcHtAnA,fJUhGcHtAnA.txt,Need course to become corban,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/fJUhGcHtAnA.txt
92,Fkzz5JePGb4,Fkzz5JePGb4.txt,01 - Payroll Loan Training - What is a Payroll Loan?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/Fkzz5JePGb4.txt
93,fPipFrLlhnE,fPipFrLlhnE.txt,Key Questions about Sub-delegation! - GVN Brokers,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/fPipFrLlhnE.txt
94,fzLrOfzdwDs,fzLrOfzdwDs.txt,Home office in one week course system,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/fzLrOfzdwDs.txt
95,g_3SWp1ZTik,g_3SWp1ZTik.txt,MARGEM COMPLEMENTAR,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/g_3SWp1ZTik.txt
96,gAloYbYARtI,gAloYbYARtI.txt,ASSBAN certification guide,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gAloYbYARtI.txt
97,gfv1CL4bDvk,gfv1CL4bDvk.txt,Febraban exam answers LGPD,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gfv1CL4bDvk.txt
98,gMTT0FRM_VA,gMTT0FRM_VA.txt,How Much Does a Banking Correspondent Earn in Commission?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gMTT0FRM_VA.txt
99,GPrBygrTUsc,GPrBygrTUsc.txt,Tutorial - Como utilizar o Simulador de Aumento de Margem?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/GPrBygrTUsc.txt
100,gszi6menvaA,gszi6menvaA.txt,How much does it cost to start a business in the credit market? - Beginner Correspondent,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gszi6menvaA.txt
101,gV_md5Z3MOk,gV_md5Z3MOk.txt,How to use an automatic dialer to sell payroll loans.,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gV_md5Z3MOk.txt
102,gVmefxs9utM,gVmefxs9utM.txt,QUAL O MELHOR CURSO PARA SE TORNAR CORRESPONDENTE BANCARIO?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gVmefxs9utM.txt
103,gwy6_-47cYo,gwy6_-47cYo.txt,January course discount,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/gwy6_-47cYo.txt
104,h68gNHM2aKQ,h68gNHM2aKQ.txt,COMO VENDER CREDITO CONSIGNADO PELO WHATSAPP?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/h68gNHM2aKQ.txt
105,HeL2wHVsaFY,HeL2wHVsaFY.txt,Certificacao ANEPS PLUS: O que e? Qual certificacao ANEPS e melhor?,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/HeL2wHVsaFY.txt
106,HElj4AJ8ujg,HElj4AJ8ujg.txt,Tips for those who are going to begin a business,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/HElj4AJ8ujg.txt
107,hKNvjQehB8c,hKNvjQehB8c.txt,Sales funnel for credit,Lido integralmente,https://github.com/lucasnascimento2tech-beep/contextomercado/blob/cf3e8b2d1cfb66d10114852487f7afe092d87560/hKNvjQehB8c.txt
